ALEXA_RANK,EMPLOYEE_RANGE,INDUSTRY,id
334987.0,1001 to 10000,COSMETICS,2861
4742148.0,26 to 50,Marketing and Advertising,4771
1870823.0,26 to 50,AIRLINES_AVIATION,2898
1457217.0,1,Marketing and Advertising,3711
150052.0,201 to 1000,Education,3044
16000001.0,6 to 10,Marketing Services,3247
2027779.0,26 to 50,Marketing and Advertising,4918
16000001.0,6 to 10,CONSTRUCTION,3318
16000001.0,51 to 200,CONSUMER_ELECTRONICS,2924
2840437.0,201 to 1000,OUTSOURCING_OFFSHORING,4850
16000001.0,51 to 200,INSURANCE,3756
16000001.0,6 to 10,LAW_PRACTICE,3881
911217.0,2 to 5,NON_PROFIT_ORGANIZATION_MANAGEMENT,2313
16000001.0,26 to 50,Other,1264
4425402.0,26 to 50,CONSUMER_SERVICES,4877
16000001.0,51 to 200,Technology - Services,4654
16000001.0,26 to 50,Technology - Services,2528
16000001.0,26 to 50,Marketing and Advertising,3433
170497.0,201 to 1000,Technology - Software,4398
16000001.0,6 to 10,AUTOMOTIVE,1544
59778.0,1001 to 10000,COSMETICS,2252
3034540.0,26 to 50,Manufacturing,3354
16000001.0,6 to 10,Technology - Software,2175
839380.0,1001 to 10000,RETAIL,843
49.0,6 to 10,ENTERTAINMENT,212
492842.0,6 to 10,Technology - Software,1640
11074.0,51 to 200,E_LEARNING,969
16000001.0,6 to 10,CONSUMER_ELECTRONICS,3828
3093631.0,6 to 10,Technology - Software,203
3370133.0,6 to 10,"Health, Medical, & Wellness",949
1425350.0,201 to 1000,FOOD_BEVERAGES,2508
16000001.0,1001 to 10000,Technology - Software,4237
803459.0,26 to 50,Other,3598
16000001.0,6 to 10,HEALTH_WELLNESS_AND_FITNESS,4798
16000001.0,11 to 25,Software / IT,3326
16000001.0,201 to 1000,CONSTRUCTION,3060
2632193.0,26 to 50,Technology - Software,3812
16000001.0,1001 to 10000,Non Profit/EDU/.gov,2259
16000001.0,26 to 50,LEGAL_SERVICES,3638
16000001.0,26 to 50,MACHINERY,4825
387648.0,51 to 200,Education,3132
16000001.0,26 to 50,AUTOMOTIVE,1162
16000001.0,11 to 25,NON_PROFIT_ORGANIZATION_MANAGEMENT,3072
3225686.0,26 to 50,Technology - Software,1396
