WHEN_TIMESTAMP,ACTIONS_CRM_CONTACTS,ACTIONS_CRM_COMPANIES,ACTIONS_CRM_DEALS,ACTIONS_EMAIL,USERS_CRM_CONTACTS,USERS_CRM_COMPANIES,USERS_CRM_DEALS,USERS_EMAIL,id
2020-06-01,278,0,34,0,2,0,2,0,616
2020-04-20,0,0,0,0,0,0,0,0,3059
2019-04-29,210,1,17,11,3,1,4,1,2813
2020-02-24,1,1,1,0,1,1,1,0,5076
2020-02-17,9,9,7,0,1,1,1,0,3983
2019-01-21,841,409,0,0,4,4,0,0,3813
2020-06-01,0,0,0,0,0,0,0,0,4547
2020-05-04,287,92,6,0,9,4,1,0,1436
2019-12-30,1,0,0,0,1,0,0,0,2338
2019-09-02,0,0,0,0,0,0,0,0,2542
2020-07-27,46,0,2,0,2,0,2,0,616
2019-12-16,8,32,15,2,2,3,2,1,89
2019-12-02,53,180,9,0,3,4,2,0,51
2020-06-01,4,0,0,0,1,0,0,0,1844
2019-05-06,0,0,0,0,0,0,0,0,2101
2020-02-03,0,0,0,0,0,0,0,0,4179
2020-07-20,0,0,0,0,0,0,0,0,2844
2019-09-02,0,0,0,0,0,0,0,0,5041
2019-07-08,2,0,0,0,1,0,0,0,986
2019-12-30,21,0,3,3,4,0,2,2,131
2019-03-11,0,0,0,0,0,0,0,0,4332
2020-02-10,35,3,1,0,3,1,1,0,4177
2020-05-18,0,0,0,0,0,0,0,0,3834
2019-07-01,21,1,1,0,1,1,1,0,122
2020-02-10,52,16,0,1,4,1,0,1,46
2019-10-28,37,4,10,0,5,2,1,0,107
2020-06-22,51,0,0,2,4,0,0,1,4254
2020-04-20,0,0,0,0,0,0,0,0,3148
2020-06-08,329,47,3,0,12,5,2,0,1436
2020-04-20,48,0,0,0,3,0,0,0,548
2019-04-29,2,0,0,0,1,0,0,0,755
2019-02-04,19,0,0,0,1,0,0,0,1993
2020-01-27,0,0,0,0,0,0,0,0,4844
2020-05-11,0,0,0,0,0,0,0,0,1108
2019-06-03,1,0,0,0,1,0,0,0,1799
2019-04-08,0,0,0,0,0,0,0,0,3767
2020-05-18,1,1,1,0,1,1,1,0,3734
2019-09-02,136,44,245,0,7,7,5,0,174
2020-06-15,65,0,11,0,4,0,1,0,2911
2019-08-26,0,0,0,0,0,0,0,0,137
2020-01-13,0,0,0,0,0,0,0,0,2255
2019-03-04,0,0,0,0,0,0,0,0,3636
2019-08-19,1,0,13,0,1,0,4,0,169
2020-03-09,0,0,0,0,0,0,0,0,2234
2019-09-09,5,0,12,11,3,0,2,1,123
2019-02-25,1,0,0,0,1,0,0,0,1139
2019-06-10,1,0,0,0,1,0,0,0,3037
2019-09-30,1,0,0,0,1,0,0,0,3498
2019-10-28,19,0,0,0,1,0,0,0,1700
2019-04-01,0,0,0,0,0,0,0,0,2835
2020-01-20,1,0,0,0,1,0,0,0,3971
2019-02-11,0,0,0,0,0,0,0,0,2101
2019-10-14,0,0,0,0,0,0,0,0,3840
2020-04-27,7,198,39,0,2,1,2,0,2166
2019-09-16,52,24,58,0,4,2,4,0,145
2020-01-20,1,0,0,0,1,0,0,0,3959
2019-07-22,28,0,7,0,2,0,1,0,1356
2020-03-30,3,0,0,0,1,0,0,0,138
2019-09-16,0,0,0,0,0,0,0,0,90
2020-07-27,0,0,0,0,0,0,0,0,2364
2020-06-08,2,0,0,8,2,0,0,3,300
2019-11-04,0,0,0,0,0,0,0,0,3329
2019-01-28,1,0,0,0,1,0,0,0,3607
2019-12-02,0,0,0,0,0,0,0,0,4462
2019-01-14,716,145,317,21,14,10,10,3,118
2019-11-04,0,0,0,0,0,0,0,0,5195
2019-01-21,1370,1,0,1,26,1,0,1,19
2019-08-26,0,0,1,0,0,0,1,0,162
2019-06-03,93,0,15,0,3,0,3,0,3166
2020-07-20,0,0,0,0,0,0,0,0,3953
2020-06-01,0,0,0,0,0,0,0,0,3448
2020-01-27,0,0,0,0,0,0,0,0,43
2019-09-30,0,0,0,0,0,0,0,0,2928
2020-01-27,0,0,0,0,0,0,0,0,2307
2019-07-29,12,19,91,0,3,2,5,0,67
2019-05-13,14,17,0,0,1,1,0,0,4299
2019-08-12,2,4,6,0,1,2,1,0,4602
2019-05-27,44,67,0,0,5,7,0,0,78
2020-04-06,2,0,8,0,1,0,1,0,3697
2020-02-03,6,1,3,0,2,1,2,0,2691
2019-07-08,32,5,0,2,1,1,0,1,4916
2019-07-29,0,0,0,0,0,0,0,0,2903
2020-07-20,0,0,0,0,0,0,0,0,4602
2020-06-22,39,11,10,0,2,2,3,0,95
2020-02-17,0,5,0,0,0,1,0,0,1709
2019-09-02,2,6,0,0,1,1,0,0,2494
2019-03-18,47,0,1,0,2,0,1,0,616
2019-06-17,0,0,0,0,0,0,0,0,3440
2019-08-26,1,0,0,0,1,0,0,0,2360
2019-01-21,0,0,0,0,0,0,0,0,186
2020-02-10,0,0,0,0,0,0,0,0,1713
2020-07-13,0,1,0,0,0,1,0,0,15
2019-05-20,0,0,0,0,0,0,0,0,1198
2020-04-06,2,2,43,0,1,1,2,0,3350
2020-07-27,0,0,0,0,0,0,0,0,37
2020-04-20,0,0,0,0,0,0,0,0,22
2020-02-03,60,35,26,0,5,4,3,0,3608
2019-10-07,0,2,47,0,0,1,4,0,54
2020-01-20,7,0,0,0,1,0,0,0,3805
2019-12-30,0,0,0,0,0,0,0,0,803
2019-02-04,0,0,0,0,0,0,0,0,3434
2020-05-25,7,0,6,0,1,0,1,0,1435
2020-07-27,0,0,0,0,0,0,0,0,3834
2019-12-16,1,0,0,0,1,0,0,0,5025
2019-01-14,3,0,0,0,1,0,0,0,52
2019-09-16,0,0,1,0,0,0,1,0,2064
2020-05-25,47,0,0,1,1,0,0,1,3805
2019-12-02,15,0,13,0,2,0,3,0,151
2020-07-06,3,0,0,0,1,0,0,0,3891
2019-10-28,443,92,214,4,8,7,7,1,1
2020-06-08,0,2,0,0,0,1,0,0,2395
2020-02-17,0,0,1,0,0,0,1,0,182
2020-07-13,0,0,0,0,0,0,0,0,261
2019-03-04,0,0,0,0,0,0,0,0,2207
2020-02-24,0,0,0,0,0,0,0,0,4878
2019-04-08,0,0,0,0,0,0,0,0,1368
2019-09-09,719,0,9,0,9,0,4,0,4
2020-04-20,66,5,28,1,4,3,3,1,136
2020-05-25,270,73,18,0,5,2,4,0,57
2019-04-22,21,0,0,0,1,0,0,0,1198
2019-07-22,11,0,0,0,1,0,0,0,3484
2019-10-21,33,2,0,0,2,1,0,0,3056
2019-12-09,0,0,0,0,0,0,0,0,5145
2020-02-24,0,0,0,0,0,0,0,0,3834
2019-02-18,0,1,0,0,0,1,0,0,4478
2020-01-06,541,3,8,0,9,2,3,0,4
2019-09-09,1,0,0,0,1,0,0,0,4321
2019-11-11,46,10,37,2,3,2,3,1,4436
2019-03-04,0,0,0,0,0,0,0,0,503
